486.47903100457137,-132.79507033065718,258.8692483996495,-432.518905840705
487.51088347957375,-131.38780660089097,260.0135110852471,-431.1503023180808
488.50840679906753,-130.0212158831202,261.1170881980325,-429.8250286074731
489.4681501280255,-128.69970723002302,262.17901987706045,-428.54448623039065
490.36393122292424,-127.45876317207829,263.171765725132,-427.3419339770749
491.2991883089206,-126.15785967281631,264.2104547862427,-426.08065456903074
492.22445632953605,-124.86353190994456,265.2389419372322,-424.82741064458423
493.15264634407043,-123.55804848674386,266.2725609554593,-423.5642173412794
494.07683506835514,-122.25039455576359,267.3035095682068,-422.3004626489799
494.9973737865579,-120.93975845898572,268.33260503217963,-421.0353316162842
495.91508124734713,-119.62469459935787,269.3609554992954,-419.76767240531154
496.8293244087079,-118.30571262960576,270.38805231678396,-418.49824460641554
497.7399856976452,-116.98262780553124,271.4140115945938,-417.22706772613753
498.6469835356709,-115.65520557272087,272.4389702780057,-415.9541375056222
499.550129740564,-114.32335414399006,273.46294870526515,-414.6795876362219
500.4492710692774,-112.98693397376242,274.4860126570517,-413.40349799871433
501.3442554135445,-111.6458031130695,275.50822966232266,-412.12594658337355
502.2349211958112,-110.29983161591636,276.52965903620515,-410.8470211503871
503.1211075164874,-108.9488879154325,277.55036359480226,-409.566805395721
504.00265173953653,-107.59284212716464,278.5704064776224,-408.28538270379215
504.87938866533517,-106.23156723617045,279.5898504215685,-407.0028370060252
505.75115126617254,-104.86493820058257,280.6087585903565,-405.71925179494656
506.6177704787744,-103.49283232374775,281.6271943376217,-404.434710411959
507.4790751267267,-102.11512949551607,282.6452211333775,-403.14929612372583
508.33489198950116,-100.73171219451986,283.6629026134988,-401.8630920586715
509.1850457737807,-99.34246571685033,284.68030256653435,-400.5761812314068
510.02935910474224,-97.94727832380315,285.6974849003031,-399.2886465844009
510.8676525926213,-96.54604135239424,286.71451363414207,-398.0005709886975
511.69974479614064,-95.13864943196843,287.7314528956517,-396.7120372518925
512.5254522865828,-93.72500066731772,288.7483669039949,-395.4231281422569
513.344589698949,-92.30499673891896,289.76531995319044,-394.1339264037241
514.1569697596891,-90.87854316615984,290.78237640941126,-392.8445147740799
514.9624033519231,-89.44554948578482,291.7996006794032,-391.55497599399433
515.7606996169342,-88.00592937170644,292.817057229615,-390.26539282242186
516.5516659997037,-86.55960091487624,293.83481053676593,-388.9758480703337
517.3351083553745,-85.10648680603808,294.8529251011097,-387.68642458760655
518.1108310873044,-83.64651447040502,295.8714654376763,-386.39720529371425
518.8786372194413,-82.17961635051502,296.8904960398546,-385.1082732045772
519.6383285470291,-80.70573010664334,297.91008138003247,-383.81971143487436
520.3897058162256,-79.22479873505374,298.93028590503883,-382.5316032029185
521.1325688152677,-77.73677086300529,299.95117402579484,-381.2440318639963
521.866716577976,-76.24160097456847,300.97281002914224,-379.95708100674136
522.5919476898803,-74.7392494765321,301.9952582088477,-378.67083414793177
523.308060179051,-73.22968287615357,303.01858296292903,-377.3853750600327
524.014851726041,-71.71287449174424,304.04284770341945,-376.1007888587211
524.7121217259125,-70.18880370175718,305.06811743347964,-374.8171568654427
525.39966707367,-68.6574523241981,306.0944636150361,-373.53455830881916
