114.2193987,158.6769471,39.3240033
113.0628291,157.0462807,39.5408136
111.9046084,155.4170916,39.7554834
110.7445807,153.7889866,39.9680515
109.5829631,152.1621156,40.1785554
108.419771,150.5363533,40.3870315
107.2550435,148.9116246,40.5935152
106.0889334,147.2880201,40.7980409
104.9213359,145.6652871,41.0006418
103.7525107,144.0436864,41.2013505
102.5822401,142.4228298,41.4001984
101.4108637,140.8031074,41.597216
100.2380787,139.1840325,41.7924333
99.0642804,137.5660885,41.9858792
97.8891055,135.9487228,42.1775819
96.712984,134.3324799,42.3675688
95.5355145,132.7167701,42.5558667
94.3571426,131.1021707,42.7425016
93.1774485,129.4880801,42.927499
91.996877,127.8750834,43.1108835
90.8150079,126.2625891,43.2926794
89.6322701,124.6511677,43.4729101
88.4482587,123.0402575,43.6515986
87.2633743,121.4303949,43.8287673
86.0772415,119.8210648,44.0044381
84.8902208,118.2127521,44.1786323
83.701979,116.605003,44.3513707
82.512827,114.998236,44.5226738
81.3224846,113.3920712,44.6925615
80.1312047,111.7868476,44.8610531
78.9387699,110.1822695,45.0281678
77.7453681,108.5785858,45.193924
76.5508528,106.9755934,45.35834
75.3553415,105.3734423,45.5214336
74.158765,103.7720279,45.6832222
72.9611668,102.171395,45.8437227
71.7625597,100.5715413,46.0029518
70.5629116,98.9724026,46.160926
69.362319,97.3740792,46.317661
68.1606762,95.7763986,46.4731727
66.9581625,94.1795599,46.6274762
65.7546018,92.5832853,46.7805867
64.5502542,90.9878671,46.9325188
63.344878,89.3929276,47.083287
62.1388102,87.7988445,47.2329054
60.9317502,86.2051469,47.3813879
59.7241067,84.6122891,47.528748
58.5155278,83.0197153,47.6749991
57.3064877,81.4279454,47.8201543
56.096592,79.8363487,47.9642264
54.8863727,78.2454987,48.1072279
53.6754035,76.6547011,48.2491714
52.4642651,75.0645688,48.3900687
51.2525114,73.474358,48.529932
50.0407603,71.8847042,48.6687729
48.8285606,70.2948304,48.8066028
47.6165541,68.7053752,48.9434331
46.4043016,67.1155491,49.0792747
45.1924511,65.5259683,49.2141387
43.9805994,63.9358605,49.3480357
42.7693694,62.345784,49.4809761
41.5584235,60.7550309,49.6129705
40.3483137,59.1640572,49.7440287
39.1388012,57.5722798,49.874161
37.930318,55.9800038,50.0033771
36.7227571,54.386831,50.1316865
35.5163829,52.7928694,50.2590989
34.31125,51.1979624,50.3856236
33.1074136,49.6019818,50.5112697
31.9051083,48.0050551,50.6360463
30.7041522,46.4067955,50.7599623
29.5049733,44.8076358,50.8830264
28.3071716,43.2068969,51.0052473
27.1114311,41.6052805,51.1266333
25.917283,40.0016995,51.2471929
24.7258126,38.3970203,51.3669343
23.5365288,36.7897121,51.4858656
22.3508977,35.1808249,51.6039946
21.1682449,33.568518,51.7213294
19.9902223,31.9541456,51.8378775
18.8159184,30.3356492,51.9536467
17.6470805,28.714677,52.0686443
16.4825999,27.0890304,52.1828778
15.3242428,25.4605673,52.2963545
14.1707808,23.8270634,52.4090815
13.0238907,22.1904529,52.521066
11.8823385,20.5486572,52.6323148
10.7475611,18.9034813,52.7428348
9.6184963,17.25324,52.8526329
8.4961495,15.5993022,52.9617156
7.3798365,13.9406524,53.0700896
6.2700043,12.2779788,53.1777613
5.1664648,10.6110958,53.2847372
4.0690513,8.9398686,53.3910235
2.9781239,7.2650134,53.4966265
1.8929118,5.5855246,53.6015524
0.8143128,3.9029999,53.705807
-0.2589818,2.2156059,53.8093966
-1.3255976,0.5257181,53.9123268
-2.3872689,-1.1692061,54.0146037
-3.4422428,-2.8661837,54.1162328
-4.4925335,-4.5682916,54.2172199
-5.5361296,-6.2721586,54.3175705
-6.5751579,-7.9811814,54.4172901
-7.6074795,-9.6918546,54.5163843
-8.6351521,-11.4076544,54.6148584
-9.6560442,-13.1252177,54.7127176
-10.6719556,-14.8478431,54.8099673
-11.6808939,-16.5725991,54.9066126
-12.6842464,-18.302329,55.0026586
-13.6804563,-20.0347053,55.0981103
-14.670624,-21.771706,55.1929728
-15.6543304,-23.5115368,55.287251
-16.6327193,-25.2548088,55.3809496
-17.6062048,-27.0007974,55.4740736
-18.5752116,-28.7488461,55.5666276
-19.5407595,-30.4996827,55.6586163
-20.5023411,-32.2514123,55.7500445
-21.4615034,-34.0061456,55.8409165
-22.4169516,-35.7609254,55.9312371
-23.370625,-37.5189496,56.0210105
-24.3206491,-39.2764957,56.1102413
-25.2691938,-41.0374874,56.1989338
-26.2140333,-42.7977757,56.2870923
-27.1573982,-44.5616282,56.374721
-28.0969384,-46.3248155,56.4618242
-29.0347793,-48.0915759,56.5484061
-29.9686603,-49.8579336,56.6344707
-30.9004462,-51.6277473,56.7200221
-31.8281574,-53.3976054,56.8050643
-32.753261,-55.1706716,56.8896014
-33.6742207,-56.9443715,56.9736372
-34.5919961,-58.7209098,57.0571756
-35.5056177,-60.4987627,57.1402205
-36.4154684,-62.2789878,57.2227757
-37.3212185,-64.061238,57.3048449
-38.2226682,-65.8453522,57.3864319
-39.1201171,-67.6321286,57.4675403
-40.0128715,-69.420298,57.5481737
-40.901757,-71.2115831,57.6283359
-41.7857532,-73.0038738,57.7080302
-42.6660643,-74.7995167,57.7872603
-43.5414787,-76.5958827,57.8660296
-44.4133736,-78.3956711,57.9443416
-45.2803439,-80.1960726,58.0221997
-46.1436997,-81.9999509,58.0996072
-47.0020527,-83.8044838,58.1765675
-47.8567013,-85.6124253,58.2530839
-48.7064421,-87.4210932,58.3291597
-49.5525305,-89.2329379,58.4047982
-50.3940255,-91.0455653,58.4800024
-51.2320813,-92.8609966,58.5547756
-52.0660602,-94.6772328,58.6291209
-52.8969796,-96.4957879,58.7030414
-53.7245226,-98.3151206,58.7765403
-54.5495527,-100.1362021,58.8496205
-55.372071,-101.9579704,58.922285
-56.1927605,-103.7808687,58.9945368
-57.0117846,-105.6043611,59.066379
-57.8294332,-107.428489,59.1378144
-58.6455683,-109.253419,59.2088458
-59.4597439,-111.0789636,59.2794763
-60.2718313,-112.90584,59.3497085
-61.0810987,-114.7334348,59.4195454
-61.8876373,-116.5628969,59.4889896
-62.6905842,-118.3931668,59.558044
-63.4902405,-120.2257511,59.6267113
-64.2856455,-122.0592313,59.6949942
-65.0772585,-123.8953844,59.7628954
-65.8640549,-125.7325215,59.8304174
-66.6466051,-127.5726111,59.897563
-67.4238516,-129.4137796,59.9643348
-68.1964327,-131.2581096,60.0307353
-68.9632895,-133.1036247,60.096767
-69.7250881,-134.9524432,60.1624326
-70.4808006,-136.8025703,60.2277344
-71.2310807,-138.6560756,60.2926751
-71.9749653,-140.5110374,60.3572569
-72.7130547,-142.3693853,60.4214825
-73.4444847,-144.229368,60.4853542
-74.1697623,-146.0926784,60.5488743
-74.8881559,-147.9578372,60.6120454
-75.6000374,-149.8261916,60.6748696
-76.3048506,-151.696664,60.7373493
-77.0027893,-153.5701356,60.7994869
-77.693497,-155.4460194,60.8612847
-78.3769714,-157.3246661,60.9227448
-79.0530654,-159.2060334,60.9838695
